question,document
Does Albuquerque drinking water meet federal safety standards?,159
Is the 2025 report saying our tap water outperforms EPA standards?,159
How does ABCWUA treat groundwater before it gets to my tap?,161
Do they extra-filter well water for arsenic?,161
Why does river water need more treatment than groundwater?,161
How is water treated at the San Juan-Chama plant?,161
What is chemical stabilization for in the treatment process?,161
Is Heron Reservoir part of how water gets to Albuquerque?,162
Does the San Juan-Chama project run through New Mexico and Colorado?,162
How many water samples does ABCWUA test each year?,164
Where do they collect drinking water samples from?,164
Who actually tests Albuquerque's drinking water?,164
Where does Albuquerque tap water come from?,165
Is some of our water imported from the Colorado River basin?,165
What is the San Juan-Chama Project?,165
Does Albuquerque use both groundwater and surface water?,166
Who does the water authority work with on source water assessments?,166
What's the latest source water assessment called?,166
Where can I read the Rivers and Aquifers Protection Plan?,167
Do they blend groundwater and surface water before it reaches customers?,167
Do they store extra surface water in the aquifer?,168
What's the difference between a surface water diversion and a groundwater tunnel?,168
What fluoride level does ABCWUA aim for?,169
Why do the fluoride results show a range at the monitoring sites?,169
Where can I find more fluoride info from ABCWUA?,169
Does the EPA limit contaminants in Albuquerque drinking water?,171
Where are the latest test results for regulated substances?,171
Is ABCWUA focused on a safe supply for Albuquerque and Bernalillo County?,171
Did ABCWUA win any water quality awards in 2025?,172
Who gave the water authority those 2025 awards?,172
Where can I read about their long-term water planning?,172
Did they get an award for NPDES permit compliance?,173
Is it normal for drinking water to have small amounts of contaminants?,173
What's the EPA Safe Drinking Water Hotline number?,173
What kinds of contaminants can show up in drinking water?,174
How do contaminants get into the water supply?,174
Is there a number I can call about contaminants and health effects?,174
Who sets the limits for tap water vs bottled water?,175
Is ABCWUA checking the system for leftover lead pipes?,175
Can metals or radioactive stuff show up in drinking water?,175
What does NTU mean on a water quality report?,176
What is an action level for a contaminant?,176
Is there a map of lead service lines I can look at?,176
What does action level mean on the water report?,177
What does ppb mean and how does it compare to ppm?,177
What is an MCLG?,177
What does MCLG stand for?,178
What is cryptosporidium and does the San Juan-Chama plant treat for it?,178
What does ppm mean on the water report?,178
Is ppm the same as mg/L?,179
What does ppt mean compared to ppb?,179
What is pCi/L measuring?,179
What does MRDL mean?,180
What does LRAA stand for and how is it calculated?,180
What is MRDLG?,180
What is a picocurie per liter?,181
What is a treatment technique (TT) in drinking water rules?,181
What does MCL mean?,181
What does MCL mean on my water report?,182
What's the highest level of a contaminant that's allowed in drinking water?,182
What are unregulated contaminants and why do they test for them?,183
Did they do UCMR testing in 2024 and 2025?,183
Should I be worried about lead in ABCWUA's pipes?,183
Can I get a free lead and copper test for my house?,184
How do I schedule a lead sample with ABCWUA?,184
How many customer lead samples did they test in 2025?,184
Were any customer lead tests over the 15 ppb action level?,185
Where does lead in tap water usually come from?,185
Is lead in water dangerous for pregnant women and kids?,185
Should I run my tap if the water's been sitting overnight?,186
Can I get my water tested if I'm worried about lead?,186
Where can I read more about reducing lead exposure?,186
Is there arsenic in Albuquerque drinking water?,187
What health problems is arsenic linked to?,187
What should immunocompromised people know about the water?,187
Who is more at risk from contaminants in tap water?,188
If I have a weak immune system what should I do about drinking water?,188
Are infants and elderly more vulnerable to waterborne infections?,188
How much sodium is in Albuquerque tap water?,189
What was the average sodium in the special distribution monitoring?,189
What's the range of sodium they measured?,189
Are there PFAS in Albuquerque drinking water?,190
When did ABCWUA test for PFAS?,190
What number do I call for a water emergency or to report water waste?,191
What's the email for water quality questions?,191
Is the water quality report available in Spanish?,191
How do I get the water report in Spanish?,192
Where do I download the English or Spanish drinking water report?,192
Where can I find info on watershed and source water protection?,192
What's the Water Authority website?,193
Where does EPA or NMED post drinking water info?,193
Are they on Facebook or Instagram?,193
How are they planning for long-term water supply?,193
What is Water 2120?,194
What is the San Juan-Chama project used for besides regular supply?,194
Can I go to a board meeting about water quality?,194
Where are Water Authority board meetings held?,195
Are the meetings ever virtual?,195
Where do I find the meeting agenda?,195
Who is on the ABCWUA board?,196
Is there a non-voting board member from Los Ranchos?,196
Who is the ABCWUA executive director?,197
Is the Village of Los Ranchos represented?,197
Where can I see the 2025 compliance monitoring results?,198
